JPEG_size,EDGE_DENSITY,SUBBAND_ENTROPY,FEATURE_CONGESTION,FIG_GROUND_CONTRAST,CONTOUR_CONGESTION,evaluation,general_difficulty
64654,0.006,1.7424,1.7493,0.7968,0.3457,0,43
60721,0.0094,1.8251,1.9724,0.5845,0.2302,1,57
88208,0.0081,1.9404,2.1039,0.8029,0.4437,0,20
67618,0.0074,1.8927,1.9481,0.7191,0.3905,0,57
94444,0.0098,2.5405,2.1875,0.7723,0.3349,1,24
72859,0.008,1.7549,2.0378,0.6641,0.3594,1,24
91279,0.0091,2.4888,2.1995,0.7558,0.3267,1,24
80666,0.0097,1.8066,2.293,0.7098,0.6123,1,24
79887,0.009,2.2962,2.0162,0.6794,0.2619,1,24
78900,0.0126,2.0576,2.5273,0.6432,0.5263,1,57
70432,0.0104,1.9786,2.0853,0.7115,0.5105,1,57
89158,0.0109,1.8725,2.3294,0.6981,0.4204,0,43
94149,0.0108,2.0603,1.9926,0.7199,0.4557,1,20
91938,0.0103,2.0851,1.9587,0.7291,0.4587,1,71
73039,0.0063,1.7238,2.0605,0.7723,0.3548,0,43
76290,0.0056,1.8987,1.9702,0.8376,0.2908,0,43
96128,0.0123,2.1223,2.2092,0.745,0.4956,1,71
63804,0.007,1.921,2.0587,0.8181,0.3498,1,37
95537,0.0126,2.183,2.2616,0.687,0.6235,1,20
115324,0.0084,2.422,2.4698,0.8418,0.3557,1,20
78410,0.0121,2.2157,2.261,0.7471,0.3841,1,57
109905,0.0133,1.9508,2.5309,0.6527,0.6507,1,28
79830,0.0077,2.4413,2.0399,0.7619,0.3238,1,13
96425,0.0123,2.0294,2.4657,0.6887,0.5003,1,24
98447,0.0127,2.1266,2.2819,0.7399,0.5017,1,24
120236,0.0107,2.4726,2.4942,0.7872,0.3569,1,24
98044,0.0115,2.2845,1.9342,0.7418,0.2905,1,20
95345,0.0104,1.9975,2.292,0.7155,0.5116,1,20
116931,0.0176,2.3571,2.7066,0.7343,0.5559,0,43
111628,0.0178,2.7356,2.9435,0.7084,0.552,1,57
50781,0.0021,1.182,1.5084,0.8805,0.3239,1,58
57916,0.0043,1.3811,1.7288,0.7215,0.3437,1,13
108774,0.0098,2.1482,2.3255,0.8115,0.4362,0,28
87886,0.0074,2.2027,1.9965,0.8571,0.195,0,13
75810,0.0062,2.3281,1.9191,0.771,0.2099,1,13
97810,0.0085,2.1828,2.2052,0.8621,0.3889,0,13
99170,0.0131,2.1208,2.4282,0.743,0.6051,1,58
102944,0.0158,2.6588,2.681,0.6923,0.5737,0,57
107994,0.0108,2.3918,2.3819,0.8161,0.4367,0,43
119838,0.0162,2.3026,2.613,0.7044,0.5962,0,43
116652,0.0163,2.5372,2.6412,0.6786,0.4903,1,24
90317,0.0104,2.1297,1.9981,0.7182,0.5129,1,58
86702,0.0131,2.0329,2.6195,0.7076,0.5716,1,37
113598,0.0137,2.145,2.6778,0.6592,0.4374,0,28
102497,0.0096,1.9551,2.3675,0.7381,0.4607,0,28
98085,0.0109,2.0043,2.4163,0.7039,0.4462,1,71
98195,0.0165,2.428,2.7664,0.6907,0.465,1,57
77208,0.0086,1.7834,2.0714,0.7098,0.4002,1,58
94859,0.0134,2.1633,2.3995,0.7443,0.528,1,58
90969,0.0106,1.9838,2.1429,0.752,0.5003,0,13
102685,0.0129,2.3705,2.0621,0.7037,0.389,1,24
120482,0.015,2.685,2.6063,0.7323,0.4093,0,43
94220,0.0087,2.2035,2.1763,0.6956,0.3578,0,43
100530,0.0128,2.2721,1.9953,0.6962,0.4578,1,58
109122,0.0185,2.4845,2.8628,0.7246,0.6077,1,37
141099,0.0177,2.6881,2.8717,0.7611,0.468,0,71
121454,0.0163,2.4824,2.2375,0.7142,0.4841,0,71
113288,0.0132,2.0611,2.3382,0.6331,0.5288,0,28
93808,0.015,2.248,2.863,0.674,0.4503,0,37
132109,0.0184,2.3079,2.6219,0.6904,0.589,0,28
120403,0.0172,2.3419,2.646,0.7273,0.5361,0,24
98057,0.0185,2.31,3.0807,0.6852,0.5298,1,57
85297,0.0125,1.9972,2.5615,0.6862,0.498,0,57
111575,0.0122,2.5079,2.3115,0.7975,0.3359,0,43
96170,0.0127,2.0135,2.4499,0.6566,0.4693,0,13
104417,0.0135,2.1822,2.6659,0.6955,0.4589,0,58
113939,0.0157,2.2303,2.7685,0.6912,0.4944,1,24
115741,0.0128,2.2019,2.6572,0.7895,0.4204,0,24
118903,0.0162,2.4119,2.576,0.7733,0.5497,1,20
141279,0.02,2.8243,2.9824,0.7044,0.5373,0,20
107529,0.0098,2.207,2.3248,0.787,0.464,0,43
123788,0.0178,2.376,2.6738,0.6123,0.4756,0,20
114154,0.0229,2.709,2.9789,0.6781,0.5065,1,57
137855,0.0134,2.6196,2.8077,0.7963,0.374,1,24
124385,0.0184,2.444,2.7579,0.6694,0.5523,0,43
128568,0.0165,2.353,2.9115,0.6716,0.4716,0,28
119320,0.0145,2.2146,2.5429,0.7224,0.5003,1,24
124714,0.0144,2.5786,2.5371,0.8054,0.4323,0,20
109911,0.0146,2.2871,2.3317,0.6756,0.4937,0,58
134093,0.0164,2.8015,2.6666,0.7828,0.3869,0,43
131992,0.0191,2.4269,3.2051,0.6574,0.5883,1,24
102899,0.0124,2.3549,2.2385,0.7024,0.4468,0,24
99374,0.0131,2.1751,2.3238,0.7228,0.4462,0,13
133272,0.0275,2.9177,3.4384,0.6583,0.5837,0,37
133372,0.0166,2.7582,2.6718,0.7609,0.4564,0,43
154558,0.0211,2.9461,3.2146,0.7441,0.5183,0,24
136921,0.0128,2.6728,2.7581,0.8119,0.3935,1,13
93542,0.0138,2.1915,2.3782,0.6133,0.3997,1,0
126962,0.0206,2.6414,2.9559,0.6843,0.54,1,54
149313,0.0173,2.8162,2.7855,0.7889,0.4058,1,19
65252,0.0059,1.3645,1.8581,0.6694,0.5414,1,19
97557,0.0089,2.2611,2.1087,0.8378,0.4155,1,27
104773,0.0141,2.1152,2.5871,0.7264,0.5256,1,20
72464,0.0077,1.7564,1.8448,0.7762,0.5471,1,43
73169,0.0051,1.7243,1.8885,0.8445,0.3537,1,24
68330,0.0053,1.6764,1.7965,0.8115,0.346,0,20
82465,0.0064,2.0653,1.9619,0.8591,0.2648,1,20
55249,0.0026,1.2166,1.5513,0.8109,0.3482,1,43
56885,0.004,1.4355,1.7192,0.7595,0.3966,1,43
60310,0.0038,1.2635,1.6942,0.8244,0.4153,0,20
59583,0.0077,1.8768,1.6701,0.6866,0.2918,1,24
74257,0.0069,2.3816,2.0585,0.8727,0.2813,1,57
82204,0.0079,1.8768,2.1602,0.7729,0.2616,1,43
73057,0.012,2.2194,2.2534,0.7349,0.4397,1,57
70893,0.0042,1.6491,1.8141,0.8534,0.4283,0,28
84185,0.0101,2.4666,2.3226,0.7513,0.4304,1,57
93037,0.0127,2.0893,2.3707,0.7335,0.5607,0,43
85059,0.0123,1.9283,2.0652,0.6641,0.4574,1,20
105746,0.0126,2.2074,2.1405,0.698,0.3778,0,28
94207,0.0114,1.9801,2.2743,0.7784,0.5501,0,71
101917,0.0138,2.3112,2.3931,0.6588,0.4778,1,71
87112,0.008,1.6877,2.0859,0.8123,0.3786,0,43
97755,0.0137,2.1808,2.2034,0.7201,0.4821,0,71
113109,0.0127,2.4387,2.3356,0.8137,0.3832,0,24
74619,0.0106,2.0095,2.1548,0.7504,0.5117,1,37
67959,0.0073,1.5615,1.9589,0.6587,0.5305,1,58
95518,0.0116,2.2106,2.3503,0.6841,0.3815,0,43
69879,0.0104,1.8823,2.2212,0.7408,0.4709,0,37
84386,0.0084,1.8679,2.2035,0.7541,0.4051,1,20
104215,0.0157,2.6799,2.736,0.7984,0.3605,1,37
105713,0.0159,2.6974,2.7976,0.7535,0.4858,1,37
107054,0.0105,2.3595,2.3194,0.8275,0.3772,1,24
104615,0.0135,2.2017,2.6418,0.6596,0.4789,1,24
90808,0.0157,2.4212,2.5296,0.6849,0.4073,0,57
83817,0.0066,2.1018,1.9565,0.8573,0.3169,1,58
107710,0.0133,2.0185,2.5136,0.6755,0.5003,0,28
54581,0.003,1.2827,1.5441,0.7802,0.3067,0,13
81089,0.0066,1.9641,1.9276,0.7637,0.3729,1,20
129618,0.0148,2.6977,2.6713,0.7345,0.4282,0,28
99569,0.0185,2.4504,2.9472,0.6921,0.5206,1,37
93947,0.0175,2.2098,2.4555,0.7007,0.5836,0,37
79418,0.0086,1.6311,2.103,0.7191,0.5546,1,13
84674,0.0092,1.7591,2.266,0.6568,0.415,1,58
86414,0.0103,2.0618,2.0533,0.6676,0.3869,0,43
108101,0.011,2.3884,2.3469,0.8361,0.3111,0,43
107538,0.0135,2.2833,2.3834,0.7711,0.4786,1,24
73064,0.0065,1.5697,1.892,0.7326,0.4076,1,58
76372,0.0116,2.1076,2.1768,0.7119,0.4858,1,37
81461,0.0097,1.8879,2.1936,0.663,0.4053,1,13
110596,0.0157,2.3137,2.4398,0.7023,0.5511,0,20
95974,0.0159,2.442,2.6809,0.696,0.5376,1,57
79765,0.0066,1.7455,1.9544,0.825,0.3221,1,58
93518,0.0109,1.9586,2.1653,0.7375,0.4674,1,58
86356,0.0085,1.7169,2.0916,0.7612,0.3852,0,58
84963,0.0093,2.0455,1.8982,0.7088,0.3827,1,58
103104,0.0135,2.3344,2.3831,0.7424,0.4973,0,43
124907,0.0144,2.3273,2.7576,0.7959,0.386,0,24
93810,0.0169,2.3368,2.5555,0.6943,0.5369,1,37
100661,0.0179,2.5616,2.6751,0.669,0.5648,1,57
124235,0.0136,2.1773,2.6502,0.7195,0.463,0,28
136175,0.025,2.9453,3.2772,0.6839,0.6642,1,37
109429,0.0119,2.2618,2.4942,0.757,0.4253,1,24
118514,0.0179,2.2433,2.526,0.7103,0.5396,1,24
99993,0.0121,2.2145,2.2495,0.6685,0.5161,0,20
132103,0.0161,2.7985,2.8054,0.729,0.5167,1,20
113547,0.0151,2.2187,2.752,0.6904,0.4304,0,43
109054,0.0197,2.5006,2.9098,0.6903,0.5669,0,57
104048,0.0175,2.5896,2.8558,0.6684,0.4951,1,57
105103,0.0144,2.4314,2.7198,0.7657,0.5216,0,57
140008,0.0183,2.7739,2.9232,0.7408,0.5537,0,71
116416,0.0121,2.2096,2.5008,0.7342,0.5065,0,24
139270,0.0161,2.7417,2.7427,0.7234,0.4437,0,28
126766,0.0184,2.4673,2.7087,0.7205,0.4442,1,24
112881,0.0137,2.6626,2.4668,0.7485,0.3951,0,58
114922,0.0229,2.6529,3.2976,0.7022,0.5863,0,57
106791,0.0201,2.4304,3.206,0.6997,0.4485,0,57
86699,0.0105,2.1579,2.0635,0.6582,0.3294,0,13
132997,0.0203,2.5602,2.5206,0.6809,0.4667,0,20
110688,0.0151,2.3863,2.4698,0.6627,0.3343,0,20
114402,0.0115,2.1705,2.5448,0.7368,0.3703,0,28
142812,0.0199,2.4293,3.199,0.6266,0.5123,0,28
98812,0.0099,2.0676,2.2989,0.7347,0.4707,0,13
136206,0.0138,2.6585,2.8224,0.7523,0.4081,0,20
144077,0.0137,2.6811,2.838,0.7932,0.4715,0,24
107633,0.015,2.3046,2.2555,0.6935,0.4272,0,13
130350,0.0202,2.4765,3.3264,0.6679,0.5768,0,13
89000,0.0114,2.1699,2.2392,0.7222,0.4769,1,54
95854,0.0118,2.1,2.5681,0.7598,0.3718,1,54
100865,0.0128,2.0452,2.3714,0.7147,0.5721,1,29
78931,0.0089,2.0,2.2478,0.7655,0.3215,0,0
105145,0.0144,2.1862,2.7129,0.6916,0.4741,1,54
122492,0.0167,2.4132,2.501,0.6749,0.492,0,0
117507,0.0159,2.3969,2.5255,0.7516,0.5625,1,30
86017,0.0072,2.2677,2.0071,0.7471,0.3572,0,19
124233,0.0107,2.5489,2.641,0.839,0.3656,1,27
75861,0.0056,1.7381,1.9954,0.873,0.452,1,44
91206,0.0092,2.462,2.1773,0.7641,0.3574,1,44
99460,0.0138,2.3816,2.3574,0.7205,0.4287,1,44
100521,0.0135,2.2194,2.2457,0.6754,0.3809,0,27
87872,0.0073,2.1602,2.012,0.861,0.2607,1,43
65277,0.0051,1.681,1.6914,0.7896,0.5499,1,24
85224,0.0029,2.2234,1.959,0.9063,0.1393,1,20
48204,0.0035,1.4048,1.638,0.8164,0.3098,1,57
63380,0.0056,1.516,1.8188,0.7026,0.3348,0,20
59180,0.0049,1.6194,1.6914,0.7241,0.2759,1,24
69879,0.0068,1.6212,1.935,0.7382,0.4085,0,71
90987,0.0166,2.4571,2.6858,0.7105,0.4664,1,57
92338,0.0109,2.085,2.2236,0.6422,0.5201,1,24
79078,0.0054,1.7773,1.9298,0.7722,0.3287,1,24
80297,0.0092,1.8401,1.9801,0.61,0.3479,1,24
81514,0.0091,2.5089,2.2971,0.7818,0.4041,1,57
70850,0.0093,1.8549,2.3031,0.7005,0.3431,1,57
72994,0.0079,2.0428,2.1816,0.7717,0.3216,1,57
80530,0.0114,2.2931,2.0236,0.7205,0.4135,1,57
81285,0.0116,1.9616,1.9652,0.6989,0.3973,0,43
69119,0.0053,1.5157,1.8297,0.7673,0.3789,1,20
83027,0.0088,2.109,1.8172,0.7237,0.2923,0,43
106943,0.0107,2.3103,2.2253,0.8191,0.4541,1,71
79994,0.0092,2.1142,1.9464,0.7136,0.3767,1,71
67055,0.0082,1.7052,1.9721,0.6992,0.353,1,37
101607,0.0151,2.2422,2.1947,0.6664,0.386,0,20
77883,0.0121,1.8967,2.4596,0.6976,0.5313,1,57
69879,0.0073,1.711,1.8274,0.7722,0.4838,1,58
95553,0.0174,2.3823,2.6782,0.7112,0.6409,1,37
84714,0.0141,2.251,2.3771,0.7128,0.5271,1,37
77346,0.0149,2.1662,2.221,0.676,0.3605,1,37
89552,0.0074,1.9986,2.1555,0.8232,0.4264,1,24
91986,0.0103,1.9323,2.1465,0.6766,0.2738,1,24
91085,0.0129,2.0575,2.0982,0.6662,0.5265,0,43
80661,0.0108,2.1529,2.2611,0.7832,0.2391,0,57
111482,0.0094,2.3818,2.4245,0.7747,0.3971,0,13
85522,0.0096,2.0199,2.0545,0.7811,0.4271,0,20
93026,0.0117,1.8973,2.3898,0.6564,0.5083,0,24
119834,0.0181,2.4557,2.7479,0.7181,0.6228,1,24
93836,0.0159,2.1924,2.582,0.7006,0.6337,1,37
94235,0.0102,2.5906,2.1587,0.7264,0.3861,1,13
83811,0.0108,1.8344,2.2444,0.6728,0.5347,0,13
83634,0.0077,1.8789,2.0397,0.8123,0.4607,1,58
81380,0.0143,2.202,2.3691,0.6706,0.4891,1,57
82093,0.015,1.9369,2.2943,0.6468,0.6588,0,57
100782,0.0133,1.987,2.6434,0.6629,0.5274,0,20
102335,0.0107,2.0489,2.4897,0.799,0.5021,1,20
142288,0.0234,2.6562,3.1573,0.6798,0.6413,0,20
103064,0.0132,2.1784,2.262,0.6812,0.5489,1,43
81410,0.0062,1.7857,2.0407,0.8828,0.502,1,13
100255,0.0173,2.235,2.942,0.6685,0.5752,0,37
105110,0.0135,2.0971,2.2829,0.6539,0.4845,1,20
79364,0.0075,1.9682,1.7676,0.6978,0.3649,1,58
96627,0.0119,2.1815,1.9021,0.6983,0.4996,1,58
103140,0.014,2.1715,2.3765,0.7475,0.5594,1,24
120861,0.0176,2.4897,2.6893,0.6521,0.5772,1,24
110524,0.0121,2.4846,2.3879,0.8137,0.3805,0,13
100405,0.0133,2.0304,2.527,0.6922,0.4713,1,58
91487,0.012,2.2889,2.4281,0.7717,0.3688,1,37
108969,0.0135,2.215,2.3272,0.7519,0.5489,0,71
103037,0.0095,2.369,2.2099,0.845,0.3654,1,58
99330,0.0165,2.5277,2.3326,0.6885,0.4387,0,57
110198,0.0171,2.7623,2.7943,0.7406,0.4648,1,37
87669,0.0123,2.1115,2.6029,0.7109,0.4866,1,57
112577,0.022,2.676,3.0944,0.6805,0.5578,0,37
137471,0.0149,2.5689,2.6842,0.8014,0.4318,0,28
97946,0.0115,1.9672,2.4192,0.7097,0.5307,1,13
113558,0.0193,2.495,3.0411,0.7011,0.4632,0,37
116601,0.0171,2.5668,2.5518,0.6677,0.5222,0,24
96505,0.0108,1.8657,2.3603,0.7493,0.5132,1,24
115412,0.0158,2.4377,2.2071,0.6917,0.3805,0,43
135432,0.0181,2.8559,2.7309,0.6939,0.5654,1,20
115829,0.0156,2.4516,2.6856,0.6693,0.4363,0,43
109379,0.0195,2.6432,3.0211,0.6419,0.5469,0,57
109309,0.0137,2.2658,2.2945,0.6577,0.4043,0,28
114970,0.0152,2.4786,2.5316,0.7632,0.4306,0,71
118394,0.0166,2.2129,2.7898,0.6892,0.5612,0,58
133960,0.0165,2.6677,2.719,0.8027,0.4849,0,43
123369,0.0161,2.7874,2.6563,0.7015,0.5067,0,13
123161,0.0141,2.3889,2.7186,0.777,0.4361,0,20
112545,0.023,2.5088,3.3881,0.6219,0.6678,0,57
108732,0.0198,2.3842,3.1789,0.693,0.5923,1,57
104961,0.0164,2.3501,3.0296,0.7044,0.4798,0,57
127941,0.0168,2.5558,2.3494,0.724,0.5026,0,20
151076,0.0217,2.7022,3.1429,0.7052,0.5991,0,28
130096,0.0164,2.2938,2.9581,0.7074,0.5693,0,43
145307,0.0207,2.598,2.5986,0.6942,0.546,1,24
86523,0.0079,2.4283,2.0213,0.7518,0.5161,1,44
68691,0.0071,1.8587,1.8583,0.7606,0.4063,1,24
93542,0.0115,2.2024,2.1717,0.6826,0.4736,0,20
90469,0.0129,2.0191,2.1258,0.6692,0.4619,1,71
110503,0.0128,2.6229,2.4776,0.7352,0.4424,1,71
121667,0.0146,2.6441,2.6073,0.7264,0.6771,0,24
94350,0.0106,1.7716,2.3785,0.6996,0.4856,0,28
57526,0.003,1.5242,1.6246,0.7404,0.3667,1,58
102377,0.0113,2.5274,2.343,0.7461,0.4204,0,20
108264,0.0165,2.6147,2.8308,0.7975,0.4676,1,37
83044,0.0066,2.3128,2.0018,0.7772,0.3727,1,58
68865,0.0068,1.5439,1.8957,0.69,0.5258,1,13
76246,0.0059,2.4947,1.9358,0.7803,0.3128,1,13
104483,0.0118,2.1868,1.9946,0.6973,0.4127,1,28
109514,0.0123,2.1326,2.2743,0.711,0.5382,1,28
78712,0.0093,1.7436,2.0626,0.6442,0.3784,1,58
99768,0.0107,2.0705,2.2784,0.7325,0.533,0,43
126971,0.0163,2.4113,2.3375,0.6965,0.5376,0,28
83220,0.0102,1.9701,1.9991,0.7307,0.5307,1,58
87846,0.009,1.8403,2.3247,0.7368,0.38,1,13
101227,0.0143,2.1562,2.294,0.7029,0.4077,0,13
97739,0.018,2.6276,2.8032,0.6897,0.4165,1,37
90948,0.0121,2.1962,2.2748,0.6899,0.3675,1,58
90171,0.0135,2.2457,2.6409,0.7098,0.4215,0,57
117969,0.0166,2.497,2.2103,0.6972,0.5343,0,43
105879,0.0137,2.2387,2.3612,0.6708,0.5833,1,58
93369,0.0155,2.317,2.5242,0.7358,0.5195,0,57
99922,0.0101,1.9923,2.4342,0.7967,0.4949,0,58
134945,0.0174,2.8031,2.8525,0.7349,0.472,0,71
131162,0.0154,2.5969,2.6133,0.7978,0.4655,1,20
135703,0.0165,2.7973,2.7473,0.7709,0.3753,0,71
113180,0.0164,2.318,2.486,0.7228,0.4988,0,20
103860,0.0138,2.2549,2.3089,0.6474,0.4671,0,20
110067,0.0152,2.4825,2.4509,0.6665,0.4317,0,58
107670,0.0129,1.9937,2.516,0.6859,0.4463,0,58
107783,0.017,2.2988,2.9669,0.6791,0.4942,1,54
97638,0.0149,2.4174,2.546,0.7342,0.3819,0,0
118145,0.0199,2.5496,2.7625,0.6629,0.4175,0,54
128111,0.0149,2.6913,2.5856,0.8097,0.4092,1,0
69974,0.0065,1.7967,1.887,0.6601,0.4694,1,59
60881,0.0079,1.6578,1.6564,0.7011,0.3643,1,59
70328,0.0059,1.5657,1.8082,0.8073,0.5392,0,19
57096,0.0028,1.1773,1.5992,0.8914,0.3505,1,19
103278,0.0134,2.2513,2.4933,0.7253,0.536,0,27
110988,0.012,2.6347,2.4457,0.7279,0.5208,1,27
152004,0.0216,2.9223,3.1906,0.7079,0.5402,1,24
143720,0.0221,2.7812,3.1317,0.675,0.544,0,43
130231,0.0174,2.4898,2.7081,0.6364,0.4556,0,24
140180,0.0175,2.8517,2.7883,0.773,0.4522,0,13
84642,0.0109,1.9962,2.3694,0.6798,0.4678,1,54
136249,0.019,2.9075,2.9081,0.8006,0.4659,1,54
154323,0.0178,2.8157,2.8791,0.7793,0.4792,1,19
150952,0.0221,2.6467,3.1878,0.6963,0.5922,0,19
99588,0.0119,1.8737,2.3685,0.7381,0.5244,1,30
75974,0.0065,2.3893,1.9315,0.7733,0.2346,1,59
55600,0.0029,1.1808,1.592,0.864,0.3318,1,59
66427,0.0064,1.7104,1.7778,0.8216,0.2977,1,59
72203,0.0051,1.6829,1.9334,0.8205,0.4323,1,19
64326,0.006,1.6307,1.8123,0.5985,0.2461,1,19
68553,0.0066,1.7601,1.8885,0.6914,0.1958,0,19
93570,0.0114,2.2284,1.8534,0.7081,0.439,1,27
93280,0.011,2.0983,2.3841,0.6973,0.3585,0,27
103461,0.0132,1.9819,2.5385,0.6872,0.5435,1,27
109334,0.0118,2.5036,2.2939,0.8174,0.3868,0,27
127101,0.0159,2.7585,2.7581,0.7101,0.5077,1,27
97801,0.0132,2.2283,2.1509,0.6889,0.3703,1,27
98219,0.0124,2.0636,2.5111,0.7172,0.4497,0,27
95447,0.0117,2.1622,2.1945,0.6779,0.4347,1,27
64343,0.0082,1.7378,1.6963,0.6855,0.3422,1,44
87030,0.0038,2.3607,1.9763,0.8557,0.1802,1,44
114777,0.0136,2.6661,2.5605,0.7361,0.4373,0,27
112440,0.0187,2.3465,2.7273,0.6941,0.5188,0,20
68174,0.0058,1.8074,1.8283,0.6983,0.2797,1,43
66558,0.0065,1.7958,1.7994,0.7044,0.3481,1,43
59751,0.0035,1.3339,1.6426,0.8092,0.3467,1,43
66983,0.006,1.4588,1.9062,0.683,0.4625,1,24
69594,0.0046,1.5454,1.8588,0.8359,0.3978,1,24
68196,0.0056,1.9061,1.8022,0.7242,0.3862,1,24
61548,0.0025,1.6324,1.637,0.8163,0.2382,1,24
67923,0.0056,1.813,1.8138,0.7062,0.3782,0,20
60394,0.0036,1.158,1.7147,0.8775,0.3751,1,20
78683,0.007,2.4278,1.9575,0.7689,0.2291,1,43
90069,0.008,2.3788,2.0378,0.7662,0.4619,1,43
72118,0.0113,2.169,2.2654,0.7366,0.4523,0,37
72011,0.0067,1.8854,1.8706,0.7153,0.3261,1,20
68438,0.0055,1.7229,1.8137,0.8167,0.4078,1,20
69551,0.0065,1.591,1.8022,0.7175,0.6493,0,43
71338,0.0058,1.9376,1.6638,0.8118,0.3671,1,24
53693,0.0023,1.3431,1.6479,0.9007,0.3328,0,24
76290,0.0065,2.3875,1.9583,0.764,0.2091,1,24
81312,0.006,2.335,1.9258,0.7784,0.3449,1,24
73338,0.0095,1.7103,1.8406,0.7052,0.5778,1,24
88440,0.0085,2.3568,2.1173,0.7515,0.4364,1,24
71980,0.0063,1.8546,1.7042,0.7326,0.3482,0,71
81447,0.0066,2.3228,1.9344,0.7453,0.3611,0,71
66580,0.0088,1.8323,2.0318,0.7485,0.4322,1,57
55856,0.0067,1.9041,1.8386,0.7466,0.2475,1,57
61582,0.0073,1.9291,1.9822,0.7146,0.4552,1,57
59699,0.0027,1.2943,1.6349,0.8492,0.3116,0,28
96305,0.0102,2.4526,2.2611,0.7491,0.4134,0,43
85255,0.0098,1.8004,2.3087,0.6879,0.5001,0,43
82117,0.0093,1.8687,2.3155,0.7256,0.4325,0,43
80941,0.0086,1.8337,2.0184,0.6326,0.362,1,43
77942,0.0085,1.9729,2.0301,0.7753,0.3838,0,20
53558,0.0088,1.7979,1.7847,0.6807,0.2487,1,57
58628,0.0083,1.5882,2.0096,0.6596,0.5135,1,57
89306,0.0104,2.0367,2.1972,0.6807,0.5535,1,24
81853,0.0119,2.1105,1.9709,0.6921,0.3166,1,24
98513,0.0091,2.3724,2.2216,0.8383,0.2811,1,20
69130,0.0069,1.9711,1.754,0.6718,0.3446,1,20
70487,0.0093,1.9362,1.7957,0.6892,0.4817,1,20
101206,0.0098,2.3143,2.2237,0.8523,0.3729,1,20
72143,0.0062,1.6772,1.9375,0.759,0.4432,1,24
73428,0.0061,1.5245,1.9216,0.7693,0.3141,1,24
72108,0.0071,1.962,1.8649,0.8148,0.3423,0,24
77956,0.0099,1.9578,2.373,0.7774,0.4899,1,57
86302,0.015,2.3334,2.4269,0.6738,0.4516,1,57
64053,0.0083,1.7079,2.0766,0.7199,0.2287,1,57
70141,0.0058,1.5976,1.9257,0.7501,0.3876,1,20
78543,0.0058,1.7387,2.0382,0.8145,0.3867,1,71
94808,0.0121,2.2204,2.2224,0.659,0.5061,0,71
102974,0.0134,2.1128,2.3875,0.6301,0.4033,1,71
98475,0.0121,2.1143,2.2917,0.6716,0.4978,1,71
74017,0.009,1.7892,1.8084,0.6891,0.4206,0,28
87278,0.01,2.0084,2.1586,0.7699,0.5271,0,43
89577,0.0106,1.8049,2.3021,0.7012,0.5665,0,71
71726,0.0074,1.9372,1.8768,0.6746,0.3615,0,43
81438,0.0069,1.7765,2.0812,0.8027,0.3433,1,71
102474,0.0136,2.056,2.6167,0.6743,0.5695,1,71
85634,0.0099,2.0168,2.1116,0.6792,0.2477,1,71
110770,0.0157,2.2464,2.4525,0.722,0.4783,1,71
67017,0.0081,2.0041,2.1416,0.7382,0.3406,1,37
98191,0.0105,2.4778,2.2843,0.7683,0.4015,1,20
111437,0.0122,2.5272,2.4231,0.8084,0.3311,1,20
77263,0.0123,2.299,2.3082,0.6857,0.4303,1,57
94612,0.0101,1.9208,2.3083,0.7089,0.3423,0,28
