JPEG_size,EDGE_DENSITY,SUBBAND_ENTROPY,FEATURE_CONGESTION,FIG_GROUND_CONTRAST,CONTOUR_CONGESTION,evaluation,general_difficulty,adaptive
76290,0.0056,1.8987,1.9702,0.8376,0.2908,0,43,0
126730,0.0144,2.6093,2.561,0.7158,0.4832,0,60,1
117426,0.0153,2.3529,2.4064,0.6856,0.5154,0,47,1
124851,0.0178,2.4903,2.4198,0.6759,0.5636,0,57,1
90958,0.0105,2.1718,2.0598,0.7329,0.5381,0,57,1
143993,0.0159,2.8399,2.8508,0.7691,0.5536,0,62,1
96128,0.0123,2.1223,2.2092,0.745,0.4956,1,71,0
115625,0.0137,2.2391,2.0329,0.6973,0.5105,0,47,1
128724,0.0154,2.4185,2.6736,0.6809,0.609,1,55,1
156975,0.0218,3.1083,2.5207,0.6946,0.337,0,57,1
90913,0.0118,2.2029,2.2488,0.6804,0.4486,1,14,1
63804,0.007,1.921,2.0587,0.8181,0.3498,1,37,0
95537,0.0126,2.183,2.2616,0.687,0.6235,1,20,0
115324,0.0084,2.422,2.4698,0.8418,0.3557,1,20,0
78410,0.0121,2.2157,2.261,0.7471,0.3841,1,57,0
122394,0.0149,2.2132,2.7898,0.7233,0.5316,0,47,1
94853,0.0109,1.9841,2.1062,0.7124,0.4891,0,47,1
109905,0.0133,1.9508,2.5309,0.6527,0.6507,1,28,0
79830,0.0077,2.4413,2.0399,0.7619,0.3238,1,13,0
87441,0.0104,2.0516,2.0637,0.7014,0.4676,1,21,1
105258,0.0106,2.3492,2.363,0.8413,0.3307,0,14,1
96022,0.0103,2.2231,2.22,0.7076,0.458,1,14,1
96425,0.0123,2.0294,2.4657,0.6887,0.5003,1,24,0
98447,0.0127,2.1266,2.2819,0.7399,0.5017,1,24,0
120236,0.0107,2.4726,2.4942,0.7872,0.3569,1,24,0
98044,0.0115,2.2845,1.9342,0.7418,0.2905,1,20,0
95345,0.0104,1.9975,2.292,0.7155,0.5116,1,20,0
97805,0.012,2.1786,2.2152,0.7289,0.5513,1,34,1
96687,0.0114,1.896,2.3264,0.7513,0.6068,1,14,1
116931,0.0176,2.3571,2.7066,0.7343,0.5559,0,43,0
111628,0.0178,2.7356,2.9435,0.7084,0.552,1,57,0
50781,0.0021,1.182,1.5084,0.8805,0.3239,1,58,0
57916,0.0043,1.3811,1.7288,0.7215,0.3437,1,13,0
108774,0.0098,2.1482,2.3255,0.8115,0.4362,0,28,0
152275,0.0219,2.9607,2.5412,0.6917,0.4577,0,21,1
94242,0.0141,2.4391,2.2522,0.6887,0.4272,1,55,1
102467,0.0114,1.9011,2.4551,0.6334,0.5727,0,66,1
113818,0.0141,2.7187,2.4284,0.7795,0.3303,1,57,1
103863,0.0143,2.3157,2.4108,0.676,0.4327,1,57,1
154536,0.0215,3.0138,2.4759,0.6815,0.4216,1,57,1
87886,0.0074,2.2027,1.9965,0.8571,0.195,0,13,0
75810,0.0062,2.3281,1.9191,0.771,0.2099,1,13,0
93408,0.0115,1.9515,2.196,0.6104,0.4896,0,34,1
88135,0.0101,1.9371,2.2224,0.666,0.3654,1,14,1
94050,0.0094,1.9453,2.3686,0.7561,0.4115,0,14,1
96895,0.0106,2.1645,2.1243,0.7271,0.4827,0,60,1
97810,0.0085,2.1828,2.2052,0.8621,0.3889,0,13,0
99170,0.0131,2.1208,2.4282,0.743,0.6051,1,58,0
102944,0.0158,2.6588,2.681,0.6923,0.5737,0,57,0
121328,0.0136,2.865,2.4741,0.6523,0.1926,0,14,1
107994,0.0108,2.3918,2.3819,0.8161,0.4367,0,43,0
119838,0.0162,2.3026,2.613,0.7044,0.5962,0,43,0
116652,0.0163,2.5372,2.6412,0.6786,0.4903,1,24,0
90317,0.0104,2.1297,1.9981,0.7182,0.5129,1,58,0
86702,0.0131,2.0329,2.6195,0.7076,0.5716,1,37,0
112551,0.014,2.5456,2.3445,0.7434,0.463,0,57,1
125368,0.0147,2.6707,2.4908,0.7594,0.519,0,47,1
114049,0.0116,2.4849,2.4116,0.7255,0.5338,1,66,1
113598,0.0137,2.145,2.6778,0.6592,0.4374,0,28,0
102497,0.0096,1.9551,2.3675,0.7381,0.4607,0,28,0
84848,0.0083,1.9131,2.204,0.7654,0.4804,1,14,1
137091,0.0185,2.8675,2.7239,0.7525,0.5356,0,62,1
117950,0.0115,2.7509,2.4398,0.7951,0.4582,1,34,1
104806,0.012,2.159,2.2556,0.6861,0.5842,0,60,1
98085,0.0109,2.0043,2.4163,0.7039,0.4462,1,71,0
98195,0.0165,2.428,2.7664,0.6907,0.465,1,57,0
100854,0.0114,2.0921,2.1886,0.7175,0.5603,1,66,1
77208,0.0086,1.7834,2.0714,0.7098,0.4002,1,58,0
94859,0.0134,2.1633,2.3995,0.7443,0.528,1,58,0
90969,0.0106,1.9838,2.1429,0.752,0.5003,0,13,0
102685,0.0129,2.3705,2.0621,0.7037,0.389,1,24,0
149254,0.0173,2.7989,2.7526,0.771,0.5055,0,62,1
120482,0.015,2.685,2.6063,0.7323,0.4093,0,43,0
94220,0.0087,2.2035,2.1763,0.6956,0.3578,0,43,0
109289,0.0127,2.5694,2.4568,0.727,0.5089,1,14,1
100530,0.0128,2.2721,1.9953,0.6962,0.4578,1,58,0
109122,0.0185,2.4845,2.8628,0.7246,0.6077,1,37,0
141099,0.0177,2.6881,2.8717,0.7611,0.468,0,71,0
121454,0.0163,2.4824,2.2375,0.7142,0.4841,0,71,0
113288,0.0132,2.0611,2.3382,0.6331,0.5288,0,28,0
93808,0.015,2.248,2.863,0.674,0.4503,0,37,0
132109,0.0184,2.3079,2.6219,0.6904,0.589,0,28,0
105168,0.0157,2.3438,2.5354,0.6876,0.4873,0,55,1
100210,0.0118,1.9981,2.2619,0.7309,0.5815,0,57,1
108967,0.0117,2.0819,2.4156,0.6967,0.5233,0,57,1
95261,0.0125,2.2771,2.3633,0.6833,0.5014,1,55,1
106592,0.0128,2.2401,2.3379,0.6833,0.4866,0,47,1
133649,0.0203,2.5232,3.043,0.6939,0.599,0,34,1
120403,0.0172,2.3419,2.646,0.7273,0.5361,0,24,0
98057,0.0185,2.31,3.0807,0.6852,0.5298,1,57,0
85297,0.0125,1.9972,2.5615,0.6862,0.498,0,57,0
101490,0.0113,2.1835,2.2939,0.7319,0.3901,1,14,1
85632,0.0122,2.0549,2.0287,0.6715,0.3785,1,14,1
111575,0.0122,2.5079,2.3115,0.7975,0.3359,0,43,0
120450,0.0139,2.5685,2.3869,0.7616,0.549,0,66,1
122566,0.0141,2.358,2.7943,0.7658,0.462,1,34,1
86305,0.0065,1.7154,2.0505,0.8058,0.449,0,47,1
96170,0.0127,2.0135,2.4499,0.6566,0.4693,0,13,0
104417,0.0135,2.1822,2.6659,0.6955,0.4589,0,58,0
113939,0.0157,2.2303,2.7685,0.6912,0.4944,1,24,0
115741,0.0128,2.2019,2.6572,0.7895,0.4204,0,24,0
155330,0.022,3.1962,2.5475,0.681,0.4005,0,14,1
104701,0.01,2.2068,2.1277,0.8121,0.4563,0,47,1
118903,0.0162,2.4119,2.576,0.7733,0.5497,1,20,0
141279,0.02,2.8243,2.9824,0.7044,0.5373,0,20,0
119407,0.0151,2.2747,2.4589,0.7031,0.5826,0,66,1
107529,0.0098,2.207,2.3248,0.787,0.464,0,43,0
139889,0.0165,2.6393,2.6215,0.7659,0.4222,0,14,1
103740,0.0132,1.8706,2.5767,0.6673,0.7011,0,34,1
123788,0.0178,2.376,2.6738,0.6123,0.4756,0,20,0
112337,0.0122,2.6092,2.4,0.72,0.4914,0,47,1
114154,0.0229,2.709,2.9789,0.6781,0.5065,1,57,0
98933,0.0125,2.2857,2.31,0.6473,0.4883,1,14,1
137855,0.0134,2.6196,2.8077,0.7963,0.374,1,24,0
140018,0.015,2.537,2.7029,0.7915,0.5284,0,60,1
107808,0.0122,2.2963,2.2255,0.718,0.5243,0,57,1
109290,0.0182,2.7129,2.8193,0.6834,0.5031,0,55,1
151065,0.0183,2.8341,2.7686,0.7526,0.5202,0,62,1
124385,0.0184,2.444,2.7579,0.6694,0.5523,0,43,0
105026,0.0113,2.227,2.1059,0.6632,0.6168,0,60,1
128568,0.0165,2.353,2.9115,0.6716,0.4716,0,28,0
123952,0.015,2.7245,2.4479,0.7386,0.5244,0,66,1
119320,0.0145,2.2146,2.5429,0.7224,0.5003,1,24,0
108723,0.0152,2.2271,2.5298,0.7113,0.6757,0,34,1
124714,0.0144,2.5786,2.5371,0.8054,0.4323,0,20,0
109911,0.0146,2.2871,2.3317,0.6756,0.4937,0,58,0
96280,0.0118,2.2885,2.0241,0.6915,0.463,0,47,1
119839,0.0157,2.3738,2.5649,0.7352,0.5632,0,62,1
134093,0.0164,2.8015,2.6666,0.7828,0.3869,0,43,0
91351,0.0108,2.4134,2.0947,0.6861,0.3668,1,14,1
131992,0.0191,2.4269,3.2051,0.6574,0.5883,1,24,0
102899,0.0124,2.3549,2.2385,0.7024,0.4468,0,24,0
120474,0.0126,2.4752,2.3994,0.711,0.6343,0,66,1
149193,0.021,3.0351,2.3862,0.6699,0.4371,1,14,1
132659,0.0188,2.28,3.1545,0.6598,0.6862,0,62,1
99374,0.0131,2.1751,2.3238,0.7228,0.4462,0,13,0
89574,0.0101,2.0519,2.1039,0.7013,0.4597,1,14,1
97180,0.0104,1.9441,2.1045,0.6683,0.6563,0,47,1
81851,0.0082,1.8962,1.8987,0.6889,0.5646,0,47,1
133272,0.0275,2.9177,3.4384,0.6583,0.5837,0,37,0
91245,0.0105,1.8085,2.3348,0.684,0.5057,0,34,1
133372,0.0166,2.7582,2.6718,0.7609,0.4564,0,43,0
148179,0.0199,2.9208,2.9014,0.7651,0.5257,1,62,1
154558,0.0211,2.9461,3.2146,0.7441,0.5183,0,24,0
106524,0.0124,2.4205,2.4534,0.7129,0.4287,0,14,1
88307,0.0105,2.215,1.964,0.6786,0.39,0,14,1
132440,0.0203,2.7902,2.9538,0.7534,0.478,0,55,1
117438,0.015,2.3976,2.3296,0.69,0.5623,1,57,1
136921,0.0128,2.6728,2.7581,0.8119,0.3935,1,13,0
126714,0.0166,2.7923,2.7515,0.7157,0.4548,1,41,1
113016,0.0136,2.6746,2.3835,0.7607,0.4659,0,35,1
93542,0.0138,2.1915,2.3782,0.6133,0.3997,1,0,0
101380,0.0107,2.0941,2.2193,0.6597,0.5242,1,55,1
126962,0.0206,2.6414,2.9559,0.6843,0.54,1,54,0
157153,0.023,2.9723,3.0286,0.7214,0.4938,1,35,1
148915,0.0191,2.9725,2.7559,0.6581,0.43,1,35,1
126768,0.0198,2.9729,2.8323,0.7517,0.4545,0,28,1
149313,0.0173,2.8162,2.7855,0.7889,0.4058,1,19,0
159718,0.0208,2.8705,2.4868,0.6765,0.4295,0,31,1
117920,0.0147,2.4896,2.5751,0.6885,0.4898,0,28,1
120155,0.0131,2.6399,2.3453,0.7627,0.3977,0,35,1
115802,0.015,2.4765,2.4768,0.6847,0.5217,1,35,1
114374,0.019,2.4549,3.1684,0.6641,0.6094,1,35,1
100903,0.0099,2.3308,2.1653,0.7947,0.5009,0,21,1
95292,0.0106,2.072,2.223,0.7379,0.5208,1,21,1
65252,0.0059,1.3645,1.8581,0.6694,0.5414,1,19,0
108258,0.0121,2.0928,2.2305,0.691,0.6096,0,17,1
97557,0.0089,2.2611,2.1087,0.8378,0.4155,1,27,0
90323,0.0103,1.8621,2.365,0.6798,0.5961,0,21,1
131458,0.0174,2.3672,3.0454,0.6514,0.5662,0,17,1
82403,0.0091,1.8033,2.2278,0.6707,0.4845,0,21,1
117339,0.0107,2.6969,2.3854,0.8077,0.5165,0,21,1
104773,0.0141,2.1152,2.5871,0.7264,0.5256,1,20,0
97198,0.0107,2.0611,2.211,0.7297,0.5103,0,21,1
72464,0.0077,1.7564,1.8448,0.7762,0.5471,1,43,0
117634,0.0128,2.1946,2.3833,0.719,0.4822,0,66,1
128408,0.0157,2.7312,2.7989,0.7561,0.4941,1,34,1
73169,0.0051,1.7243,1.8885,0.8445,0.3537,1,24,0
68330,0.0053,1.6764,1.7965,0.8115,0.346,0,20,0
82465,0.0064,2.0653,1.9619,0.8591,0.2648,1,20,0
94678,0.0144,2.2078,2.4108,0.7246,0.4651,0,14,1
109464,0.0154,2.1543,2.6154,0.6842,0.5042,0,21,1
108460,0.0127,2.2345,2.5274,0.7313,0.468,1,21,1
55249,0.0026,1.2166,1.5513,0.8109,0.3482,1,43,0
56885,0.004,1.4355,1.7192,0.7595,0.3966,1,43,0
60310,0.0038,1.2635,1.6942,0.8244,0.4153,0,20,0
59583,0.0077,1.8768,1.6701,0.6866,0.2918,1,24,0
74257,0.0069,2.3816,2.0585,0.8727,0.2813,1,57,0
82204,0.0079,1.8768,2.1602,0.7729,0.2616,1,43,0
73057,0.012,2.2194,2.2534,0.7349,0.4397,1,57,0
129967,0.0143,2.6613,2.4631,0.775,0.4224,1,14,1
85683,0.0075,1.9052,2.0827,0.7668,0.4563,1,34,1
70893,0.0042,1.6491,1.8141,0.8534,0.4283,0,28,0
89746,0.0103,1.9938,2.2906,0.7161,0.2984,0,14,1
84185,0.0101,2.4666,2.3226,0.7513,0.4304,1,57,0
103439,0.0121,2.319,2.1226,0.7249,0.5477,0,66,1
125984,0.0144,2.935,2.5237,0.6564,0.3667,0,14,1
93037,0.0127,2.0893,2.3707,0.7335,0.5607,0,43,0
85059,0.0123,1.9283,2.0652,0.6641,0.4574,1,20,0
119850,0.0126,2.8872,2.4064,0.7136,0.3306,1,21,1
105746,0.0126,2.2074,2.1405,0.698,0.3778,0,28,0
94207,0.0114,1.9801,2.2743,0.7784,0.5501,0,71,0
101917,0.0138,2.3112,2.3931,0.6588,0.4778,1,71,0
113893,0.0134,2.2345,2.388,0.6791,0.6496,0,66,1
87112,0.008,1.6877,2.0859,0.8123,0.3786,0,43,0
109459,0.0125,2.1335,2.3186,0.7003,0.47,0,66,1
97755,0.0137,2.1808,2.2034,0.7201,0.4821,0,71,0
114495,0.0153,2.7454,2.4428,0.7423,0.3936,0,21,1
90171,0.0122,2.1595,2.121,0.7242,0.3716,1,14,1
101823,0.0134,2.4002,2.3737,0.6807,0.5074,1,14,1
95234,0.0096,2.0994,2.0979,0.7608,0.3361,0,14,1
113109,0.0127,2.4387,2.3356,0.8137,0.3832,0,24,0
74619,0.0106,2.0095,2.1548,0.7504,0.5117,1,37,0
137011,0.0164,2.774,2.8133,0.7546,0.4647,1,47,1
67959,0.0073,1.5615,1.9589,0.6587,0.5305,1,58,0
115996,0.0119,2.5052,2.2323,0.7826,0.3517,1,21,1
96610,0.0119,2.2102,2.1418,0.6224,0.5792,0,34,1
95518,0.0116,2.2106,2.3503,0.6841,0.3815,0,43,0
69879,0.0104,1.8823,2.2212,0.7408,0.4709,0,37,0
84386,0.0084,1.8679,2.2035,0.7541,0.4051,1,20,0
104215,0.0157,2.6799,2.736,0.7984,0.3605,1,37,0
105713,0.0159,2.6974,2.7976,0.7535,0.4858,1,37,0
107054,0.0105,2.3595,2.3194,0.8275,0.3772,1,24,0
104615,0.0135,2.2017,2.6418,0.6596,0.4789,1,24,0
110592,0.013,2.6916,2.2837,0.7998,0.4021,1,14,1
90808,0.0157,2.4212,2.5296,0.6849,0.4073,0,57,0
83817,0.0066,2.1018,1.9565,0.8573,0.3169,1,58,0
107710,0.0133,2.0185,2.5136,0.6755,0.5003,0,28,0
109665,0.0141,2.5803,2.5063,0.6925,0.5589,1,55,1
54581,0.003,1.2827,1.5441,0.7802,0.3067,0,13,0
172360,0.0239,2.9158,2.6478,0.6713,0.4897,0,47,1
81089,0.0066,1.9641,1.9276,0.7637,0.3729,1,20,0
95102,0.0113,1.8824,2.4384,0.6436,0.4975,1,34,1
88848,0.0071,1.9343,2.0158,0.7368,0.5279,1,34,1
105045,0.0106,2.2664,2.2147,0.8343,0.4771,1,14,1
129618,0.0148,2.6977,2.6713,0.7345,0.4282,0,28,0
99569,0.0185,2.4504,2.9472,0.6921,0.5206,1,37,0
93947,0.0175,2.2098,2.4555,0.7007,0.5836,0,37,0
79418,0.0086,1.6311,2.103,0.7191,0.5546,1,13,0
128612,0.0142,2.6291,2.5882,0.7333,0.5428,0,66,1
84674,0.0092,1.7591,2.266,0.6568,0.415,1,58,0
115642,0.0152,2.657,2.4209,0.7573,0.5412,0,21,1
149044,0.0211,3.2077,2.43,0.6663,0.3306,1,14,1
122245,0.0169,2.4822,2.4817,0.7123,0.5514,0,62,1
86414,0.0103,2.0618,2.0533,0.6676,0.3869,0,43,0
108101,0.011,2.3884,2.3469,0.8361,0.3111,0,43,0
107538,0.0135,2.2833,2.3834,0.7711,0.4786,1,24,0
73064,0.0065,1.5697,1.892,0.7326,0.4076,1,58,0
76372,0.0116,2.1076,2.1768,0.7119,0.4858,1,37,0
105271,0.0135,2.2169,2.3665,0.7075,0.6153,0,57,1
81461,0.0097,1.8879,2.1936,0.663,0.4053,1,13,0
110596,0.0157,2.3137,2.4398,0.7023,0.5511,0,20,0
130849,0.0142,2.5489,2.445,0.773,0.4735,0,34,1
95974,0.0159,2.442,2.6809,0.696,0.5376,1,57,0
79765,0.0066,1.7455,1.9544,0.825,0.3221,1,58,0
93518,0.0109,1.9586,2.1653,0.7375,0.4674,1,58,0
86356,0.0085,1.7169,2.0916,0.7612,0.3852,0,58,0
84963,0.0093,2.0455,1.8982,0.7088,0.3827,1,58,0
103104,0.0135,2.3344,2.3831,0.7424,0.4973,0,43,0
124907,0.0144,2.3273,2.7576,0.7959,0.386,0,24,0
93810,0.0169,2.3368,2.5555,0.6943,0.5369,1,37,0
100661,0.0179,2.5616,2.6751,0.669,0.5648,1,57,0
106317,0.0097,2.3553,2.1672,0.7413,0.5275,0,60,1
124235,0.0136,2.1773,2.6502,0.7195,0.463,0,28,0
127303,0.0166,2.8119,2.6933,0.731,0.436,0,34,1
136175,0.025,2.9453,3.2772,0.6839,0.6642,1,37,0
107380,0.0132,2.2244,2.2189,0.7127,0.4798,0,47,1
89928,0.0113,2.2287,2.1504,0.6983,0.5943,1,55,1
109429,0.0119,2.2618,2.4942,0.757,0.4253,1,24,0
118514,0.0179,2.2433,2.526,0.7103,0.5396,1,24,0
100012,0.0135,2.3857,2.3643,0.6882,0.4352,1,14,1
87691,0.0076,1.5275,1.9937,0.7509,0.5456,0,60,1
107031,0.0134,2.5047,2.2902,0.7328,0.438,0,57,1
107067,0.0147,2.4876,2.2416,0.6992,0.4771,1,14,1
99993,0.0121,2.2145,2.2495,0.6685,0.5161,0,20,0
132103,0.0161,2.7985,2.8054,0.729,0.5167,1,20,0
113547,0.0151,2.2187,2.752,0.6904,0.4304,0,43,0
109054,0.0197,2.5006,2.9098,0.6903,0.5669,0,57,0
104048,0.0175,2.5896,2.8558,0.6684,0.4951,1,57,0
105103,0.0144,2.4314,2.7198,0.7657,0.5216,0,57,0
140008,0.0183,2.7739,2.9232,0.7408,0.5537,0,71,0
116416,0.0121,2.2096,2.5008,0.7342,0.5065,0,24,0
117195,0.0149,2.6662,2.4222,0.7467,0.5642,1,34,1
139270,0.0161,2.7417,2.7427,0.7234,0.4437,0,28,0
106667,0.0152,2.3889,2.524,0.7178,0.4475,0,14,1
126766,0.0184,2.4673,2.7087,0.7205,0.4442,1,24,0
112400,0.0114,2.4077,2.404,0.8028,0.4018,0,34,1
112881,0.0137,2.6626,2.4668,0.7485,0.3951,0,58,0
114922,0.0229,2.6529,3.2976,0.7022,0.5863,0,57,0
106791,0.0201,2.4304,3.206,0.6997,0.4485,0,57,0
104571,0.0148,2.2979,2.5693,0.7259,0.5135,1,14,1
86699,0.0105,2.1579,2.0635,0.6582,0.3294,0,13,0
132997,0.0203,2.5602,2.5206,0.6809,0.4667,0,20,0
110688,0.0151,2.3863,2.4698,0.6627,0.3343,0,20,0
105864,0.0146,2.5103,2.2506,0.7099,0.5088,1,14,1
113550,0.0161,2.3495,2.6624,0.726,0.5775,0,55,1
114402,0.0115,2.1705,2.5448,0.7368,0.3703,0,28,0
142812,0.0199,2.4293,3.199,0.6266,0.5123,0,28,0
98812,0.0099,2.0676,2.2989,0.7347,0.4707,0,13,0
136206,0.0138,2.6585,2.8224,0.7523,0.4081,0,20,0
144077,0.0137,2.6811,2.838,0.7932,0.4715,0,24,0
100940,0.0133,2.1686,2.0111,0.6877,0.5233,0,34,1
137485,0.0203,2.5916,2.9626,0.673,0.6458,1,62,1
107633,0.015,2.3046,2.2555,0.6935,0.4272,0,13,0
130350,0.0202,2.4765,3.3264,0.6679,0.5768,0,13,0
105672,0.0129,2.1094,2.3251,0.6972,0.6342,1,61,1
125904,0.0169,2.3285,2.6924,0.7378,0.643,1,61,1
174016,0.0249,3.1907,2.801,0.6744,0.4453,1,61,1
125166,0.0157,2.7716,2.5644,0.7442,0.501,1,89,1
131648,0.0175,2.6062,2.7698,0.6946,0.5422,1,89,1
139332,0.0193,2.8865,2.7525,0.7465,0.5093,1,89,1
122111,0.015,2.439,2.2844,0.7259,0.4824,1,35,1
89000,0.0114,2.1699,2.2392,0.7222,0.4769,1,54,0
95854,0.0118,2.1,2.5681,0.7598,0.3718,1,54,0
100865,0.0128,2.0452,2.3714,0.7147,0.5721,1,29,0
78931,0.0089,2.0,2.2478,0.7655,0.3215,0,0,0
