id,JPEG_size,CONTOUR_DENSITY,SUBBAND_ENTROPY,FEATURE_CONGESTION,FIG_GROUND,CONTOUR_CONGESTION,start_date,end_date,wrong_selection,hint_used,hints_count,evaluation,evaluation_details,objects,distractors,background,theme,perspective,rotate_images,max_overlap,min_distance_from_border,min_size,max_size,earned_stars,max_stars_possible,ended_early,general_difficulty,adaptive,duration,background_difficulty
1210552,134523,0.0172,2.8195,2.7287,0.7395,0.5371,2022-09-25 11:12:41,2022-09-25 11:13:44,0,f,0,1, time (63s) - OK & ,10,28,63_50_10_bg7.png,FantasyOldKids,0,1,0.4,71,100,180,24,27,f,61,1,63,90
1245433,136423,0.02,2.5747,3.3906,0.6654,0.6192,2022-10-04 09:36:44,2022-10-04 09:37:42,0,f,0,1, time (58s) - OK & ,8,20,58_30_8_bg9.png,CityOldKids,0,0,0.2,71,100,180,18,21,f,68,1,58,90
1250349,151848,0.0261,2.9534,3.3726,0.7128,0.562,2022-10-05 09:57:31,2022-10-05 09:58:20,0,f,0,1, time (49s) - OK & ,8,20,90_20_5_bg5.png,Pirates,0,0,0.4,57,100,180,18,21,f,68,1,49,90
1250410,123532,0.0208,2.7848,3.1497,0.7006,0.5115,2022-10-05 09:58:47,2022-10-05 10:00:54,0,f,0,1, time (127s) - OK & ,8,21,70_50_10_bg6.png,FantasyOldKids,0,0,0.4,57,100,180,18,21,f,68,1,127,90
1294081,91162,0.0107,2.1849,2.13,0.7895,0.3257,2022-10-13 17:09:30,2022-10-13 17:10:35,0,f,0,1, time (65s) - OK & ,5,7,58_30_8_bg3.png,FantasyOldKids,1,0,0.1,143,96,276,9,12,f,29,0,65,0
1294122,93518,0.0106,2.1327,2.261,0.6491,0.3019,2022-10-13 17:10:53,2022-10-13 17:11:57,0,f,0,1, time (64s) - OK & ,5,7,68_25_7_bg2.png,Pirates,1,0,0.1,143,96,276,9,12,f,29,0,64,0
1294243,89664,0.011,1.9135,2.1051,0.6186,0.4915,2022-10-13 17:14:06,2022-10-13 17:15:08,1,t,1,0,"hint used &  time (62s) - OK &  2 or more mistakes on 0 item(s) &  any mistake on 1 item(s) - OK &  [Mistakes Details:   (on object ""Farm/Items/50_farmerStanding_blackShoes.png"" - 1 errs) --] ",5,7,75_25_7_bg3.png,Farm,1,0,0.1,143,96,276,9,12,f,29,0,62,0
1308652,101195,0.0158,2.4208,2.5584,0.6698,0.5327,2022-10-16 18:05:04,2022-10-16 18:05:51,1,t,1,0,"hint used &  time (47s) - OK &  2 or more mistakes on 0 item(s) &  any mistake on 1 item(s) - OK &  [Mistakes Details:   (on object ""CityYoungKids/Items/75_dogSleeping.png"" - 1 errs) --] ",5,7,58_20_4_bg2.png,CityYoungKids,1,0,0.1,128,96,276,9,12,f,0,0,47,0
1361973,138887,0.02,2.5775,2.8661,0.6777,0.6058,2022-10-29 11:33:59,2022-10-29 11:34:39,0,f,0,1, time (40s) - OK & ,10,30,60_80_15_bg9.png,FantasyOldKids,0,1,0.2,71,100,180,24,27,f,89,1,40,90
1429759,109211,0.017,2.4866,2.7081,0.659,0.5713,2022-11-12 11:46:09,2022-11-12 11:47:21,1,t,1,0,"hint used &  time (72s) - OK &  2 or more mistakes on 0 item(s) &  any mistake on 1 item(s) - OK &  [Mistakes Details:   (on object ""CityOldKids\Items\70_balerina.png"" - 1 errs) --] ",6,13,58_20_4_bg2.png,CityOldKids,1,0,0.2,128,100,180,9,15,f,50,1,72,0
1549327,115588,0.0149,2.4481,2.4251,0.6516,0.4594,2022-12-03 15:07:07,2022-12-03 15:07:59,0,f,0,1, time (52s) - OK & ,7,16,58_20_4_bg2.png,CityOldKids,0,0,0.2,76,100,180,15,18,f,55,1,52,90
1576276,142766,0.019,2.8772,3.0113,0.6922,0.556,2022-12-15 09:56:05,2022-12-15 09:57:49,2,t,1,0,"hint used &  time (104s) - OK &  2 or more mistakes on 1 item(s) &  any mistake on 1 item(s) - OK &  [Mistakes Details:   (on object ""CityYoungKids/Items/150_sandbox.png"" - 2 errs) --] ",7,16,58_50_7_bg5.png,CityYoungKids,1,0,0.2,71,90,239,15,18,f,0,0,104,0
1614058,92809,0.0133,2.0173,2.6076,0.6537,0.578,2022-12-28 13:03:34,2022-12-28 13:05:20,0,f,0,1, time (106s) - OK & ,7,18,58_30_8_bg9.png,CityOldKids,1,1,0.4,128,100,180,15,18,f,28,1,106,90
1664140,109453,0.0138,2.4106,2.4814,0.6991,0.4157,2023-01-21 11:17:21,2023-01-21 11:17:56,0,f,0,1, time (35s) - OK & ,6,12,70_50_10_bg6.png,FantasyOldKids,1,0,0.2,143,100,180,12,15,f,43,1,35,90
1664190,107079,0.0144,2.3764,2.6218,0.7323,0.496,2023-01-21 11:18:21,2023-01-21 11:18:51,1,f,0,1," time (30s) - OK &  2 or more mistakes on 0 item(s) &  any mistake on 1 item(s) - OK &  [Mistakes Details:   (on object ""CityOldKids/Items/80_mailman.png"" - 1 errs) --] ",6,12,73_50_15_bg4.png,CityOldKids,1,0,0.2,71,100,180,12,15,f,43,1,30,90
1708738,100945,0.012,2.6082,2.3729,0.7136,0.5633,2023-02-04 11:16:22,2023-02-04 11:17:09,1,f,0,1," time (47s) - OK &  2 or more mistakes on 0 item(s) &  any mistake on 1 item(s) - OK &  [Mistakes Details:   (on object ""CityOldKids\Items\400_fountain.png"" - 1 errs) --] ",7,17,58_50_7_bg5.png,CityOldKids,0,1,0.2,64,100,180,12,18,f,50,1,47,0
1728371,113432,0.0128,2.2355,2.351,0.7284,0.545,2023-02-08 17:34:11,2023-02-08 17:35:05,2,f,0,1," time (54s) - OK &  2 or more mistakes on 0 item(s) &  any mistake on 2 item(s) - OK &  [Mistakes Details:   (on object ""FantasyOldKids/Items/50_wizard_2.png"" - 1 errs) -- (on object ""FantasyOldKids/Items/80_chest_2.png"" - 1 errs) --] ",8,22,60_80_15_bg9.png,FantasyOldKids,0,1,0.4,76,100,180,15,21,f,77,1,54,90
1750381,109555,0.017,2.4613,2.8016,0.7231,0.6189,2023-02-13 18:38:57,2023-02-13 18:40:30,0,f,0,1, time (93s) - OK & ,7,19,73_50_15_bg4.png,CityOldKids,0,1,0.4,64,100,180,15,18,f,28,1,93,90
1787224,129184,0.0167,2.4888,2.728,0.6615,0.6036,2023-02-25 10:08:58,2023-02-25 10:09:36,1,f,0,1," time (38s) - OK &  2 or more mistakes on 0 item(s) &  any mistake on 1 item(s) - OK &  [Mistakes Details:   (on object ""CityOldKids/Items/70_cleaner.png"" - 1 errs) --] ",7,18,63_35_5_bg8.png,CityOldKids,1,0,0.2,153,100,180,13,18,f,55,1,38,90
1846501,109717,0.0157,2.4208,2.4286,0.7065,0.4684,2023-03-15 11:08:18,2023-03-15 11:11:10,2,f,0,-1," acceptable time (80s) exceeded (172s) &  2 or more mistakes on 1 item(s) &  any mistake on 1 item(s) &  [Mistakes Details:   (on object ""FantasyOldKids/Items/15_AXE.png"" - 2 errs) --] ",5,9,58_30_8_bg3.png,FantasyOldKids,1,0,0.2,143,100,300,6,12,f,28,1,172,0
1913703,136843,0.0154,2.6271,2.6464,0.6929,0.6401,2023-04-02 09:25:32,2023-04-02 09:26:52,5,f,0,1," time (80s) - OK &  2 or more mistakes on 1 item(s) &  any mistake on 1 item(s) - OK &  [Mistakes Details:   (on object ""CityOldKids/Items/60_policemanWriting.png"" - 5 errs) --] ",9,26,58_50_7_bg5.png,CityOldKids,0,1,0.4,76,100,180,18,24,f,67,1,80,90
1913887,146925,0.0162,2.9477,2.664,0.6787,0.4014,2023-04-02 09:29:05,2023-04-02 09:30:20,0,f,0,1, time (75s) - OK & ,10,28,90_15_5_bg6.png,Pirates,0,1,0.4,76,100,180,24,27,f,67,1,75,90
1920296,160690,0.0206,3.0773,2.925,0.7432,0.4639,2023-04-03 07:51:53,2023-04-03 07:53:12,1,t,1,0,"hint used &  time (79s) - OK &  2 or more mistakes on 0 item(s) &  any mistake on 1 item(s) - OK &  [Mistakes Details:   (on object ""FantasyOldKids/Items/15_rug.png"" - 1 errs) --] ",9,27,63_50_10_bg7.png,FantasyOldKids,0,0,0.4,76,100,180,18,24,f,77,1,79,90
1920487,141206,0.0138,2.8202,2.6403,0.7924,0.4762,2023-04-03 07:55:45,2023-04-03 07:57:45,5,t,2,0,"hint used &  time (120s) - OK &  2 or more mistakes on 2 item(s) &  any mistake on 3 item(s) &  [Mistakes Details:   (on object ""Farm/Items/120_sheepJumping.png"" - 2 errs) -- (on object ""Farm/Items/15_PIPE090.png"" - 1 errs) -- (on object ""Farm/Items/25_cat.png"" - 2 errs) --] ",10,28,75_30_6_bg8.png,Farm,0,1,0.4,76,100,180,19,27,f,77,1,120,90
1951297,120512,0.0151,2.5083,2.6131,0.6765,0.5602,2023-04-15 11:44:37,2023-04-15 11:45:19,0,f,0,1, time (42s) - OK & ,9,24,70_50_10_bg6.png,FantasyOldKids,0,1,0.4,71,100,180,21,24,f,43,1,42,90
2169419,69374,0.007,1.9747,1.8467,0.6679,0.3799,2023-07-04 12:18:55,2023-07-04 12:19:03,0,f,0,1, time (8s) - OK & ,3,1,58_20_4_bg2.png,CityOldKids,1,0,0.0,143,100,300,1,6,f,59,0,8,0
2169553,67738,0.0069,1.7597,1.7923,0.7858,0.3652,2023-07-04 12:21:29,2023-07-04 12:21:40,0,f,0,1, time (11s) - OK & ,3,1,58_30_8_bg3.png,FantasyOldKids,1,0,0.0,143,100,300,3,6,f,59,0,11,0
2169591,55247,0.0039,1.3133,1.6622,0.7465,0.3469,2023-07-04 12:22:12,2023-07-04 12:22:21,0,f,0,1, time (9s) - OK & ,3,1,37_20_4_bg6.png,Farm,1,0,0.0,143,100,300,3,6,f,59,0,9,0
2169630,81331,0.0073,2.3378,2.0239,0.7573,0.4441,2023-07-04 12:23:00,2023-07-04 12:23:10,0,f,0,1, time (10s) - OK & ,3,1,58_40_10_bg2.png,FantasyOldKids,1,0,0.0,143,100,300,3,6,f,59,0,10,0
2207386,108997,0.014,2.3171,2.2364,0.688,0.6098,2023-08-22 10:48:41,2023-08-22 10:51:31,5,t,1,-1,"hint used &  acceptable time (80s) exceeded (170s) &  2 or more mistakes on 1 item(s) &  any mistake on 3 item(s) &  [Mistakes Details:   (on object ""FantasyOldKids/Items/35_dwarf_2.png"" - 1 errs) -- (on object ""FantasyOldKids/Items/20_helmet.png"" - 3 errs) -- (on object ""FantasyOldKids/Items/7_SCORP.png"" - 1 errs) --] ",5,8,60_50_10_bg10.png,FantasyOldKids,1,0,0.2,143,100,300,7,12,f,21,1,170,90
2207437,103004,0.0133,2.5906,2.1139,0.6896,0.4476,2023-08-22 10:52:03,2023-08-22 10:53:28,3,t,1,-1,"hint used &  acceptable time (80s) exceeded (85s) &  2 or more mistakes on 1 item(s) &  any mistake on 1 item(s) &  [Mistakes Details:   (on object ""FantasyYoungKids/Items/8_broom.png"" - 3 errs) --] ",5,8,60_50_10_bg10.png,FantasyYoungKids,0,0,0.2,143,100,300,7,12,f,21,1,85,90
2217803,108467,0.0145,2.2579,2.7206,0.6722,0.4354,2023-08-29 10:16:34,2023-08-29 10:19:56,5,t,1,-1,"hint used &  acceptable time (80s) exceeded (202s) &  2 or more mistakes on 2 item(s) &  any mistake on 3 item(s) &  [Mistakes Details:   (on object ""FantasyOldKids/Items/30_swan_3.png"" - 1 errs) -- (on object ""FantasyOldKids/Items/10_hat.png"" - 2 errs) -- (on object ""FantasyOldKids/Items/8_sword.png"" - 2 errs) --] ",5,9,60_40_10_bg1.png,FantasyOldKids,0,0,0.2,143,100,300,4,12,f,21,1,202,0
2226174,83765,0.01,1.9324,2.0669,0.6155,0.4243,2023-09-04 20:23:16,2023-09-04 20:24:42,1,t,1,0,"hint used &  acceptable time (80s) exceeded (86s) &  2 or more mistakes on 0 item(s) &  any mistake on 1 item(s) - OK &  [Mistakes Details:   (on object ""Farm/Items/130_UMBRLTOP.png"" - 1 errs) --] ",5,9,75_25_7_bg3.png,Farm,0,1,0.4,71,100,300,6,12,f,21,1,86,0
2254046,81076,0.0072,1.7079,2.0956,0.7582,0.4751,2023-09-20 18:12:48,2023-09-20 18:14:30,1,t,1,0,"hint used &  acceptable time (96s) exceeded (102s) &  2 or more mistakes on 0 item(s) &  any mistake on 1 item(s) - OK &  [Mistakes Details:   (on object ""Pirates/Items/12_compass.png"" - 1 errs) --] ",6,13,55_33_10_bg1.png,Pirates,1,1,0.4,143,100,180,12,15,f,21,1,102,0
2270521,116060,0.0127,2.4511,2.3631,0.8151,0.4702,2023-10-02 17:57:17,2023-10-02 17:58:43,0,f,0,1, time (86s) - OK & ,6,13,70_80_10_bg5.png,FantasyOldKids,1,0,0.2,71,100,180,12,15,f,21,1,86,0
2293917,93137,0.0114,2.1702,2.1965,0.6681,0.5216,2023-10-15 19:22:09,2023-10-15 19:23:26,0,f,0,1, time (77s) - OK & ,6,13,58_20_4_bg2.png,CityYoungKids,0,1,0.2,71,100,180,12,15,f,21,1,77,90
2296129,88998,0.0105,2.0707,2.0872,0.7243,0.5337,2023-10-17 11:44:13,2023-10-17 11:45:17,1,f,0,1," time (64s) - OK &  2 or more mistakes on 0 item(s) &  any mistake on 1 item(s) - OK &  [Mistakes Details:   (on object ""FantasyOldKids/Items/50_knight_3.png"" - 1 errs) --] ",6,13,60_80_15_bg9.png,FantasyOldKids,1,1,0.2,71,100,180,12,15,f,21,1,64,90
2305340,63104,0.0058,1.7573,1.6899,0.7888,0.2259,2023-10-20 10:46:25,2023-10-20 10:46:49,2,f,0,0," time (24s) - OK &  2 or more mistakes on 1 item(s) &  any mistake on 1 item(s) &  [Mistakes Details:   (on object ""FantasyOldKids/Items/3_ring.png"" - 2 errs) --] ",3,1,58_30_8_bg3.png,FantasyOldKids,1,0,0.0,143,100,300,3,6,f,19,0,24,0
2305381,59644,0.0036,1.535,1.7227,0.7816,0.2655,2023-10-20 10:47:34,2023-10-20 10:47:47,0,f,0,1, time (13s) - OK & ,3,1,70_20_5_bg2.png,Farm,1,0,0.0,143,100,300,3,6,f,19,0,13,0
2317621,110387,0.0157,2.2564,2.6816,0.7192,0.5941,2023-10-24 17:05:43,2023-10-24 17:06:25,1,f,0,1," time (42s) - OK &  2 or more mistakes on 0 item(s) &  any mistake on 1 item(s) - OK &  [Mistakes Details:   (on object ""CityYoungKids/Items/160_tennisPlayer_2.png"" - 1 errs) --] ",5,7,73_50_15_bg4.png,CityYoungKids,1,0,0.1,143,96,276,6,12,f,27,0,42,0
2326996,143376,0.0185,2.5188,2.8294,0.7125,0.4914,2023-10-27 17:27:26,2023-10-27 17:28:53,5,t,3,0,"hint used &  time (87s) - OK &  2 or more mistakes on 1 item(s) &  any mistake on 4 item(s) &  [Mistakes Details:   (on object ""FantasyOldKids/Items/70_monster.png"" - 1 errs) -- (on object ""FantasyOldKids/Items/6_SNAIL.png"" - 1 errs) -- (on object ""FantasyOldKids/Items/8_sword.png"" - 2 errs) -- (on object ""FantasyOldKids/Items/12_mouse_2.png"" - 1 errs) --] ",8,22,57_60_10_bg8.png,FantasyOldKids,0,0,0.4,76,100,180,12,21,f,17,1,87,90
2330930,97066,0.0114,2.2854,1.9146,0.6871,0.401,2023-10-28 10:58:23,2023-10-28 11:00:08,4,f,0,-1," acceptable time (80s) exceeded (105s) &  2 or more mistakes on 1 item(s) &  any mistake on 2 item(s) &  [Mistakes Details:   (on object ""FantasyOldKids/Items/50_mermaid.png"" - 1 errs) -- (on object ""FantasyOldKids/Items/7_SCORP.png"" - 3 errs) --] ",5,7,67_50_15_bg4.png,FantasyOldKids,1,0,0.1,143,96,276,9,12,f,27,0,105,0
2340959,112710,0.0162,2.4437,2.685,0.712,0.4841,2023-10-31 10:20:24,2023-10-31 10:21:34,0,f,0,1, time (70s) - OK & ,6,10,73_50_15_bg4.png,CityYoungKids,1,0,0.1,143,94,263,12,15,f,27,0,70,0
2346509,117697,0.0141,2.6832,2.5301,0.7441,0.4884,2023-11-01 19:18:05,2023-11-01 19:19:25,0,f,0,1, time (80s) - OK & ,6,10,58_40_10_bg2.png,FantasyYoungKids,1,0,0.1,143,94,263,12,15,f,27,0,80,0
2368385,67257,0.0065,1.5259,1.8436,0.6834,0.4266,2023-11-08 14:54:30,2023-11-08 14:54:41,0,f,0,1, time (11s) - OK & ,3,1,37_20_4_bg6.png,Farm,1,0,0.0,143,100,300,3,6,f,44,0,11,0
2368423,82900,0.0069,2.0735,1.9477,0.8657,0.2549,2023-11-08 14:55:17,2023-11-08 14:55:27,0,f,0,1, time (10s) - OK & ,3,1,70_80_10_bg5.png,FantasyOldKids,1,0,0.0,143,100,300,1,6,f,44,0,10,0
2375920,131921,0.0173,2.7614,2.806,0.7178,0.5843,2023-11-10 11:39:53,2023-11-10 11:42:12,68,t,3,-1,"hint used &  acceptable time (112s) exceeded (139s) &  2 or more mistakes on 4 item(s) &  any mistake on 6 item(s) &  [Mistakes Details:   (on object ""FantasyOldKids/Items/7_BOTL9.png"" - 1 errs) -- (on object ""FantasyOldKids/Items/70_door.png"" - 1 errs) -- (on object ""FantasyOldKids/Items/30_cat.png"" - 6 errs) -- (on object ""FantasyOldKids/Items/400_tower.png"" - 38 errs) -- (on object ""FantasyOldKids/Items/30_BOOK.png"" - 5 errs) -- (on object ""FantasyOldKids/Items/15_WHEEL.png"" - 17 errs) --] ",7,18,58_40_10_bg2.png,FantasyOldKids,1,0,0.4,71,100,180,7,18,f,36,1,139,0
2383641,101196,0.0093,2.2609,2.2202,0.8361,0.5011,2023-11-13 11:45:55,2023-11-13 11:48:00,10,t,2,-1,"hint used &  acceptable time (96s) exceeded (125s) &  2 or more mistakes on 3 item(s) &  any mistake on 3 item(s) &  [Mistakes Details:   (on object ""FantasyOldKids/Items/70_ANCHR.png"" - 2 errs) -- (on object ""FantasyOldKids/Items/7_SCORP.png"" - 5 errs) -- (on object ""FantasyOldKids/Items/700_chariot.png"" - 3 errs) --] ",6,14,70_80_10_bg5.png,FantasyOldKids,1,1,0.4,71,100,180,8,15,f,21,1,125,0
2399020,120519,0.0184,2.6273,3.0432,0.6625,0.5734,2023-11-19 09:05:07,2023-11-19 09:05:49,1,t,1,0,"hint used &  time (42s) - OK &  2 or more mistakes on 0 item(s) &  any mistake on 1 item(s) - OK &  [Mistakes Details:   (on object ""CityOldKids/Items/60_boy.png"" - 1 errs) --] ",7,13,63_35_5_bg8.png,CityOldKids,1,0,0.2,128,92,251,12,18,f,20,0,42,0
2399156,105968,0.0134,2.3139,2.6362,0.7099,0.4931,2023-11-19 09:07:33,2023-11-19 09:08:39,1,f,0,1," time (66s) - OK &  2 or more mistakes on 0 item(s) &  any mistake on 1 item(s) - OK &  [Mistakes Details:   (on object ""Farm/Items/90_dogRuning.png"" - 1 errs) --] ",7,13,66_20_4_bg1.png,Farm,1,0,0.2,128,92,251,13,18,f,20,0,66,0
616813,57573,0.0035,1.4124,1.7363,0.7564,0.3878,2022-03-07 10:24:27,2022-03-07 10:24:41,0,f,0,1, time (14s) - OK & ,3,1,70_20_5_bg2.png,Farm,1,0,0.0,143,100,300,3,6,f,43,0,14,0
616959,86206,0.0073,2.5497,1.9752,0.7647,0.2285,2022-03-07 10:27:50,2022-03-07 10:28:10,0,f,0,1, time (20s) - OK & ,3,1,58_50_7_bg5.png,CityOldKids,1,0,0.0,143,100,300,3,6,f,43,0,20,0
617462,141710,0.0197,2.5462,2.9614,0.7176,0.5208,2022-03-07 11:12:09,2022-03-07 11:13:40,2,t,1,0,"hint used &  time (91s) - OK &  2 or more mistakes on 0 item(s) &  any mistake on 2 item(s) - OK &  [Mistakes Details:   (on object ""FantasyOldKids/Items/2000_castle.png"" - 1 errs) -- (on object ""FantasyOldKids/Items/70_monster.png"" - 1 errs) --] ",8,21,57_60_10_bg8.png,FantasyOldKids,0,0,0.2,71,100,180,16,21,f,62,1,91,90
618232,129059,0.0157,2.5195,2.6837,0.7777,0.4794,2022-03-07 13:51:20,2022-03-07 13:55:12,6,t,3,-1,"hint used &  acceptable time (112s) exceeded (232s) &  2 or more mistakes on 2 item(s) &  any mistake on 4 item(s) &  [Mistakes Details:   (on object ""FantasyOldKids/Items/40_LAMP4.png"" - 1 errs) -- (on object ""FantasyOldKids/Items/40_mummy.png"" - 2 errs) -- (on object ""FantasyOldKids/Items/45_magician_4.png"" - 2 errs) -- (on object ""FantasyOldKids/Items/20_helmet.png"" - 1 errs) --] ",7,16,70_80_10_bg5.png,FantasyOldKids,1,0,0.2,71,100,180,10,18,f,60,1,232,0
622545,89850,0.0082,2.1802,2.0529,0.845,0.3416,2022-03-08 10:17:23,2022-03-08 10:17:50,2,f,0,0," time (27s) - OK &  2 or more mistakes on 1 item(s) &  any mistake on 1 item(s) &  [Mistakes Details:   (on object ""FantasyOldKids/Items/700_gingerbreadhouse.png"" - 2 errs) --] ",3,1,70_80_10_bg5.png,FantasyOldKids,1,0,0.0,143,100,300,3,6,f,20,0,27,0
622590,61681,0.0058,1.611,1.7504,0.5523,0.2107,2022-03-08 10:18:43,2022-03-08 10:19:03,0,f,0,1, time (20s) - OK & ,3,1,75_25_7_bg3.png,Farm,1,0,0.0,143,100,300,3,6,f,20,0,20,0
625598,51622,0.003,1.7155,1.6313,0.8163,0.2278,2022-03-09 18:56:01,2022-03-09 18:56:26,0,f,0,1, time (25s) - OK & ,3,1,66_20_4_bg1.png,Farm,1,0,0.0,115,100,300,3,6,f,57,0,25,0
625613,53334,0.0047,1.7096,1.8366,0.816,0.1714,2022-03-09 18:56:41,2022-03-09 18:57:07,0,f,0,1, time (26s) - OK & ,3,1,55_33_10_bg1.png,Pirates,1,0,0.0,115,100,300,3,6,f,57,0,26,0
626252,101278,0.0134,2.2636,2.0675,0.6494,0.4497,2022-03-10 09:13:53,2022-03-10 09:14:34,0,f,0,1, time (41s) - OK & ,4,7,67_50_15_bg4.png,FantasyYoungKids,1,0,0.0,71,100,300,6,9,f,14,1,41,0
